id,name,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
elrond-erd-2,MultiversX,30.25,841315247,-2.85829,545.64,6.51,25-01-2025
ether-fi-staked-eth,ether.fi Staked ETH,3276.44,836580704,-3.29407,5307.23,2155.76,25-01-2025
dydx-chain,dYdX,1.15,823240999,-3.97256,4.52,0.809127,25-01-2025
matic-network,Polygon,0.433058,812684990,-1.86969,2.92,0.00314376,25-01-2025
jito-governance-token,Jito,2.79,799922939,-5.08043,6.01,1.45,25-01-2025
aerodrome-finance,Aerodrome Finance,1.023,771219391,-3.29709,2.32,1.861e-05,25-01-2025
coredaoorg,Core,0.822969,769730807,-1.21777,6.14,0.334237,25-01-2025
thorchain,THORChain,2.18,768036526,1.25294,20.87,0.00851264,25-01-2025
usdd,USDD,0.998804,753541023,0.15559,1.052,0.928067,25-01-2025
chain-2,Onyxcoin,0.02337792,743805689,-6.11356,0.184139,0.0007055,25-01-2025
mantle-restaked-eth,Mantle Restaked ETH,3480.86,737323652,-2.94265,4298.87,2476.46,25-01-2025
conflux-token,Conflux,0.15275,736407473,0.15479,1.7,0.02199898,25-01-2025
apecoin,ApeCoin,1.015,732454587,-1.03554,26.7,0.482009,25-01-2025
zcash,Zcash,46.19,731435807,-5.6973,3191.93,16.08,25-01-2025
morpho,Morpho,3.34,720516974,-3.81173,4.17,0.713151,25-01-2025
l2-standard-bridged-weth-base,L2 Standard Bridged WETH (Base),3300.41,709031497,-2.98905,4096.05,2160.5,25-01-2025
helium,Helium,4.01,708228213,-8.17243,54.88,0.113248,25-01-2025
arbitrum-bridged-weth-arbitrum-one,Arbitrum Bridged WETH (Arbitrum One),3299.55,705415887,-3.05258,4097.16,2161.12,25-01-2025
chiliz,Chiliz,0.073563,688101832,-2.55489,0.878633,0.00410887,25-01-2025
reserve-rights-token,Reserve Rights,0.01256479,687356197,-1.13985,0.117424,0.00121354,25-01-2025
ether-fi-staked-btc,Ether.fi Staked BTC,104383.0,685246698,-0.90363,109069.0,58795.0,25-01-2025
tether-gold,Tether Gold,2759.71,679952574,0.00169,2815.31,1447.84,25-01-2025
akash-network,Akash Network,2.75,679163622,-3.06163,8.07,0.164994,25-01-2025
deep,DeepBook,0.269001,670719557,-5.38071,0.341085,0.01073218,25-01-2025
compound-governance-token,Compound,75.27,666831316,-3.67772,910.54,25.74,25-01-2025
eigenlayer,Eigenlayer,2.8,657245095,-2.22017,5.65,2.16,25-01-2025
ecash,eCash,3.285e-05,650878455,-1.73911,0.00038001,1.847e-05,25-01-2025
frax,Frax,0.996577,646811162,-0.03725,1.14,0.874536,25-01-2025
wormhole,Wormhole,0.228496,643949374,-1.29692,1.66,0.16434,25-01-2025
amp-token,Amp,0.00762026,641571898,-4.23689,0.120813,0.00140933,25-01-2025
usdx-money-usdx,usdx.money USDX,0.993133,620113842,-0.65055,1.057,0.9451,25-01-2025
